00000028) perceptual - 9.45643; equivariance_value - 0.06861; equivariance_jacobian - 0.15219
00000029) perceptual - 9.44814; equivariance_value - 0.06887; equivariance_jacobian - 0.15237
00000030) perceptual - 9.41576; equivariance_value - 0.06823; equivariance_jacobian - 0.15148
00000031) perceptual - 9.38144; equivariance_value - 0.06778; equivariance_jacobian - 0.14992
00000032) perceptual - 9.41261; equivariance_value - 0.06960; equivariance_jacobian - 0.15538
00000033) perceptual - 9.32838; equivariance_value - 0.06720; equivariance_jacobian - 0.14871
00000034) perceptual - 9.39001; equivariance_value - 0.06712; equivariance_jacobian - 0.14986
00000035) perceptual - 9.36159; equivariance_value - 0.06623; equivariance_jacobian - 0.14769
00000036) perceptual - 9.30460; equivariance_value - 0.06642; equivariance_jacobian - 0.14858
00000037) perceptual - 9.25059; equivariance_value - 0.06529; equivariance_jacobian - 0.14680
00000038) perceptual - 9.30595; equivariance_value - 0.06579; equivariance_jacobian - 0.14752
00000039) perceptual - 9.27233; equivariance_value - 0.06527; equivariance_jacobian - 0.14605
00000040) perceptual - 9.26288; equivariance_value - 0.06475; equivariance_jacobian - 0.14509
00000041) perceptual - 9.26084; equivariance_value - 0.06528; equivariance_jacobian - 0.14660
00000042) perceptual - 9.20969; equivariance_value - 0.06422; equivariance_jacobian - 0.14411
00000043) perceptual - 9.22768; equivariance_value - 0.06505; equivariance_jacobian - 0.14756
00000044) perceptual - 9.15506; equivariance_value - 0.06318; equivariance_jacobian - 0.14265
00000045) perceptual - 9.18205; equivariance_value - 0.06463; equivariance_jacobian - 0.14623
00000046) perceptual - 9.18252; equivariance_value - 0.06370; equivariance_jacobian - 0.14330
00000047) perceptual - 9.14206; equivariance_value - 0.06358; equivariance_jacobian - 0.14272
00000048) perceptual - 9.11618; equivariance_value - 0.06276; equivariance_jacobian - 0.14185
00000049) perceptual - 9.16636; equivariance_value - 0.06365; equivariance_jacobian - 0.14413
00000050) perceptual - 9.12259; equivariance_value - 0.06286; equivariance_jacobian - 0.14196
